Country,Beta0 (Coeff),Beta1 (Ratio),Beta2 (Price),e0 (Coeff),e1 (Ratio),e2 (Price),t0 (Coeff),t1 (Ratio),t2 (Price),95%% Coeff. Int (Coeff),95%% Coeff. Int (Ratio),95%% Coeff. Int (Price)
Burundi,13.5766985704,-0.69099763702,0.0193460684359,0.179603703066,0.0983980121962,0.0252126083634,75.5925314383,-7.02247557239,0.767317215143,"[13.1993651921, 13.9540319487]","[-0.897724189559, -0.484271084481]","[-0.0336236561668, 0.0723157930387]"
Cambodia,15.3184471793,-0.851585949195,0.247408459141,0.136718390249,0.0464059641484,0.0607803778898,112.043794191,-18.3507866892,4.07053176914,"[15.0299965897, 15.6068977688]","[-0.949493975259, -0.75367792313]","[0.119173071043, 0.37564384724]"
Cameroon,15.3719686266,-0.957888717034,0.319940147683,0.135113957718,0.107373286993,0.102062172446,113.770397125,-8.9211082557,3.134757374,"[15.0881047349, 15.6558325183]","[-1.18347162221, -0.732305811858]","[0.105515480115, 0.53436481525]"
Canada,21.5793590264,-0.413210332237,-0.281680917611,0.126309728027,0.0715037192718,0.350902601222,170.844790528,-5.77886488207,-0.802732486535,"[21.3139921349, 21.8447259179]","[-0.563434072015, -0.26298659246]","[-1.0188999265, 0.455538091275]"
Cape Verde,15.6574428031,-0.880817041791,-0.103456022576,0.290914720283,0.165916446719,0.139337111112,53.8214181391,-5.30879885153,-0.742487207824,"[15.0462536555, 16.2686319508]","[-1.22939456154, -0.532239522041]","[-0.396192430334, 0.189280385183]"
Cayman Islands,16.902215801,-0.00295682787934,0.998671543265,0.0696295472437,0.0693125079883,0.155324193127,242.744875848,-0.0426593693571,6.42959427738,"[16.7559295506, 17.0485020515]","[-0.148577003576, 0.142663347818]","[0.672347522543, 1.32499556399]"
Central African Republic,12.5746907217,-0.449888188703,0.396229108828,0.203730334655,0.127488598193,0.097426574349,61.7222307269,-3.5288503841,4.06695104981,"[12.1466691713, 13.002712272]","[-0.717731794527, -0.182044582879]","[0.191543471473, 0.600914746183]"
Chad,13.4621892965,-1.30603424511,-0.109566200251,0.177188760085,0.103602935354,0.0695895763074,75.9765421352,-12.6061509806,-1.57446281562,"[13.0899295251, 13.8344490678]","[-1.52369593543, -1.08837255479]","[-0.255768474886, 0.0366360743845]"
Chile,18.1259033233,-0.426630777214,0.503127653379,0.146062350288,0.0896323388553,0.230291332653,124.097026288,-4.75978628542,2.18474420023,"[17.8190377123, 18.4327689342]","[-0.614941333433, -0.238320220994]","[0.0193035169307, 0.986951789826]"
China,18.6500687588,-0.532773191178,0.733859579166,0.211182139399,0.0466694297837,0.197097683911,88.3127181674,-11.4158924514,3.72332928832,"[18.2063915476, 19.0937459699]","[-0.630822024816, -0.43472435754]","[0.319772710957, 1.14794644737]"
