Country,Beta0 (Coeff),Beta1 (Price),e0 (Coeff),e1 (Price),t0 (Coeff),t1 (Price),95%% Coeff. Int (Coeff),95%% Coeff. Int (Price)
Gabon,14.657517024,-0.901497592524,0.100148349583,0.0675036489783,146.358048684,-13.3547979431,"[14.4479041193, 14.8671299287]","[-1.0427843536, -0.760210831452]"
"Gambia, The",15.768274573,-0.785474944947,0.194507341146,0.15067147829,81.0677606313,-5.21316279539,"[15.3611660293, 16.1753831168]","[-1.10083397332, -0.470115916573]"
Georgia,15.1000186915,-0.818421699726,0.236118127226,0.122134515097,63.9511200133,-6.70098619603,"[14.6039529139, 15.5960844691]","[-1.07501679437, -0.561826605084]"
Germany,20.6192583203,-0.21573881046,0.125814848914,0.0625570016893,163.885729692,-3.44867568193,"[20.3559248151, 20.8825918255]","[-0.346672119768, -0.0848055011532]"
Ghana,17.0599654538,-1.16910456456,0.0825832333176,0.0538285880223,206.579044783,-21.7190271474,"[16.88711676, 17.2328141476]","[-1.28176909411, -1.05644003502]"
Greece,18.592894957,-0.285672114735,0.107130631039,0.0557557557754,173.553490507,-5.12363451561,"[18.3686679693, 18.8171219447]","[-0.402370252744, -0.168973976725]"
Greenland,12.2584585077,-0.819342749985,0.42658502342,0.372876138724,28.7362608501,-2.19735902863,"[11.3656057925, 13.151311223]","[-1.59978147765, -0.0389040223203]"
Grenada,16.7997582034,-0.362072216382,0.223224569568,0.157544869069,75.2594494229,-2.29821649236,"[16.3325438097, 17.266972597]","[-0.691817416993, -0.0323270157708]"
Guatemala,18.6598282172,-1.24096121958,0.108686572907,0.0677010059794,171.684760299,-18.3300262918,"[18.4323446057, 18.8873118287]","[-1.38266105361, -1.09926138556]"
Guinea,15.174351827,-1.30723983666,0.126009092101,0.0822394866227,120.422674063,-15.8955252561,"[14.9106117662, 15.4380918879]","[-1.47936906039, -1.13511061294]"
Guinea-Bissau,14.0715388105,-1.0751946563,0.161354106911,0.167697062562,87.2090526848,-6.41152945599,"[13.7338207835, 14.4092568375]","[-1.4261886421, -0.724200670505]"
Guyana,17.8974585795,-0.44607278705,0.105359377004,0.0870983763921,169.870580944,-5.1214822311,"[17.6769388691, 18.1179782899]","[-0.628371783939, -0.263773790162]"
Haiti,17.9893774217,-1.02980212731,0.138219314291,0.104078891414,130.150967062,-9.89443789539,"[17.7000810721, 18.2786737713]","[-1.2476417506, -0.811962504029]"
Honduras,18.5118918121,-0.693629579194,0.160830602708,0.115107332427,115.10179966,-6.02593739748,"[18.175269492, 18.8485141323]","[-0.934551994801, -0.452707163586]"
Hong Kong,19.5307042198,0.0138226947768,0.182601187243,0.0905603947415,106.958254296,0.152635098557,"[19.1485155426, 19.9128928971]","[-0.175722389794, 0.203367779347]"
Hungary,17.4264662968,-0.391808177619,0.142656726269,0.0793989496326,122.156639596,-4.93467708871,"[17.1278823372, 17.7250502564]","[-0.557992089095, -0.225624266144]"
Iceland,16.3036542753,-0.15281369414,0.151747574884,0.085020588645,107.43930694,-1.79737280787,"[15.9860429509, 16.6212655997]","[-0.330763831293, 0.0251364430144]"
India,19.8765391309,-1.0764717436,0.101035458373,0.0465678552547,196.728351125,-23.1161975941,"[19.6650694862, 20.0880087757]","[-1.17393938481, -0.979004102394]"
Indonesia,18.2627193354,-0.369077004586,0.135728455213,0.0706258681382,134.553357339,-5.22580485473,"[17.9786364138, 18.5468022571]","[-0.516898645462, -0.221255363709]"
Iran,17.972893021,-0.319638737352,0.120348477428,0.0676945442319,149.340427109,-4.72177988609,"[17.7210007628, 18.2247852792]","[-0.461325046782, -0.177952427923]"
Iraq,15.8887076496,-1.058534389,0.138235497651,0.094734605752,114.939418019,-11.1736823159,"[15.5993774278, 16.1780378713]","[-1.25681619762, -0.860252580374]"
Ireland,18.5658012308,-0.425091312093,0.14087588627,0.0792924496418,131.788354433,-5.36105662031,"[18.2709446122, 18.8606578495]","[-0.591052316526, -0.25913030766]"
Israel,19.3098181126,-0.279922838169,0.122958642281,0.0658922872931,157.043195618,-4.24818821243,"[19.0524627166, 19.5671735086]","[-0.417836980473, -0.142008695864]"
Italy,19.8557579797,-0.249741665545,0.171088219862,0.0956578133007,116.055669968,-2.61078166986,"[19.4976662201, 20.2138497393]","[-0.449955769775, -0.0495275613143]"
Jamaica,19.1484281382,-0.591284167165,0.117853855817,0.0798069745161,162.476042939,-7.40892848965,"[18.9017571831, 19.3950990934]","[-0.758322084537, -0.424246249793]"
Japan,20.4036561548,-0.0516492558555,0.138377936504,0.0782692791015,147.44876727,-0.659891804912,"[20.1140278051, 20.6932845045]","[-0.215468739736, 0.112170228025]"
